library,specimen_id,sample_accession,experiment_accession,run_accession,ncbi_taxid,scientific_name,family_taxid,family_name,country,prefix
CDM:ATZ,TROM_V_75263,SAMEA8202013,ERX5310010,ERR5529549,1088035,Carex_lepidocarpa_subsp_jemtlandica,4609,Cyperaceae,Sweden,TV75263
CDM:ARP,TROM_V_350905,SAMEA8201789,ERX5310011,ERR5529550,430623,Elymus_alaskanus,4479,Poaceae,Norway,TV350905
BXA:CAG,TROM_V_64976,SAMEA8201923,ERX5310012,ERR5529551,2793080,Alchemilla_norvegica,3745,Rosaceae,Norway,TV64976
CDM:AUA,TROM_V_21704,SAMEA8201754,ERX5310013,ERR5529552,13399,Carex_hostiana,4609,Cyperaceae,Norway,TV21704
CDM:APW,TROM_V_355004,SAMEA8201808,ERX5310014,ERR5529553,190548,Vaccinium_uliginosum,4345,Ericaceae,North Korea,TV355004
CDM:AKG,TROM_V_135712,SAMEA8200991,ERX5310015,ERR5529554,741073,Carex_marina_subsp_marina,4609,Cyperaceae,Greenland,TV135712
BXA:CKU,TROM_V_135923,SAMEA8201098,ERX5310016,ERR5529555,175058,Primula_egaliksensis,4335,Primulaceae,Greenland,TV135923
CDM:AKA,TROM_V_66926,SAMEA8201976,ERX5310017,ERR5529556,57912,Agrimonia_eupatoria,3745,Rosaceae,Norway,TV66926
BXA:ANL,TROM_V_40055,SAMEA8201829,ERX5310018,ERR5529557,227218,Poa_arctica,4479,Poaceae,Norway,TV40055
BXA:BKE,TROM_V_102360,SAMEA8200843,ERX5310019,ERR5529558,669628,Arenaria_pseudofrigida,3568,Caryophyllaceae,Norway,TV102360
BXA:CKN,TROM_V_135951,SAMEA8201112,ERX5310020,ERR5529559,2065963,Thymus_praecox_subsp_arcticus,4136,Lamiaceae,Greenland,TV135951
BXA:CKV,TROM_V_135908,SAMEA8201087,ERX5310021,ERR5529560,669805,Salix_arctophila,3688,Salicaceae,Greenland,TV135908
BXA:CLM,TROM_V_135739,SAMEA8201001,ERX5310022,ERR5529561,3518,Alnus_alnobetula_subsp_crispa,3514,Betulaceae,Greenland,TV135739
BXA:CGS,TROM_V_300363,SAMEA8201767,ERX5310023,ERR5529562,1301372,Antennaria_alpina_subsp_canescens,4210,Asteraceae,Greenland,TV300363
BXA:BAV,TROM_V_135696,SAMEA8200984,ERX5310024,ERR5529563,368338,Catabrosa_aquatica,4479,Poaceae,Greenland,TV135696
BXA:ALP,TROM_V_102189,SAMEA8200842,ERX5310025,ERR5529564,669623,Antennaria_villifera,4210,Asteraceae,Norway,TV102189
CDM:ABA,TROM_V_165106,SAMEA8201380,ERX5310026,ERR5529565,53161,Lamium_galeobdolon,4136,Lamiaceae,Denmark,TV165106
CDM:AHI,TROM_V_157312,SAMEA8201331,ERX5310027,ERR5529566,140997,Crataegus_monogyna,3745,Rosaceae,Denmark,TV157312
BXA:CAM,TROM_V_106771,SAMEA8200846,ERX5310028,ERR5529567,669796,Puccinellia_phryganodes,4479,Poaceae,Norway,TV106771
CDM:AHD,TROM_V_116005,SAMEA8200872,ERX5310029,ERR5529568,190902,Mentha_aquatica,4136,Lamiaceae,Denmark,TV116005
CDM:ALQ,TROM_V_37481,SAMEA8201817,ERX5310030,ERR5529569,58890,Ononis_spinosa,3803,Fabaceae,Denmark,TV37481
CDM:AEL,TROM_V_115446,SAMEA8200869,ERX5310031,ERR5529570,110756,Lysimachia_nemorum,4335,Primulaceae,Denmark,TV115446
CDM:AHP,TROM_V_13430,SAMEA8200933,ERX5310032,ERR5529571,325519,Atriplex_laciniata,1804623,Chenopodiaceae,Norway,TV13430
BXA:BLV,TROM_V_19709,SAMEA8201512,ERX5310033,ERR5529572,51265,Bidens_cernua,4210,Asteraceae,Norway,TV19709
CDM:AIG,TROM_V_100387,SAMEA8200839,ERX5310034,ERR5529573,4025,Acer_platanoides,23672,Sapindaceae,Norway,TV100387
CDM:BBR,TROM_V_97641,SAMEA8202615,ERX5310035,ERR5529574,3572,Saponaria_officinalis,3568,Caryophyllaceae,Norway,TV97641
BXA:ALH,TROM_V_167334,SAMEA8201421,ERX5310036,ERR5529575,168005,Anemone_ranunculoides,3440,Ranunculaceae,Norway,TV167334
BXA:CIM,TROM_V_19717,SAMEA8201517,ERX5310037,ERR5529576,1572681,Peucedanum_palustre,4037,Apiaceae,Norway,TV19717
BXA:CIR,TROM_V_37453,SAMEA8201816,ERX5310038,ERR5529577,200952,Ononis_arvensis,3803,Fabaceae,Norway,TV37453
CDM:AOR,TROM_V_136185,SAMEA8201126,ERX5310039,ERR5529578,241197,Carex_atrofusca,4609,Cyperaceae,Greenland,TV136185
BXA:CKO,TROM_V_135948,SAMEA8201111,ERX5310040,ERR5529579,511092,Taraxacum_arcticum,4210,Asteraceae,Greenland,TV135948
CDM:AJY,TROM_V_135829,SAMEA8201050,ERX5310041,ERR5529580,669726,Minuartia_stricta,3568,Caryophyllaceae,Greenland,TV135829
BXA:BVF,TROM_V_26304,SAMEA8201759,ERX5310042,ERR5529581,95392,Draba_fladnizensis,3700,Brassicaceae,Norway,TV26304
BXA:CLJ,TROM_V_135741,SAMEA8201003,ERX5310043,ERR5529582,1891452,Antennaria_alpina_subsp_porsildii,4210,Asteraceae,Greenland,TV135741
BXA:BIN,TROM_V_73253,SAMEA8202005,ERX5310044,ERR5529583,401918,Artemisia_norvegica,4210,Asteraceae,Norway,TV73253
BXA:APS,TROM_V_50796,SAMEA8201861,ERX5310045,ERR5529584,1891476,Elymus_alaskanus_subsp_borealis,4479,Poaceae,Norway,TV50796
CDM:ATN,TROM_V_2173,SAMEA8201755,ERX5310046,ERR5529585,289866,Asplenium_trichomanes_subsp_inexpectans,41972,Aspleniaceae,Norway,TV2173
CDM:AVO,TROM_V_49066,SAMEA8201858,ERX5310047,ERR5529586,29667,Bromus_tectorum,4479,Poaceae,Norway,TV49066
CDM:AHQ,TROM_V_114556,SAMEA8200865,ERX5310048,ERR5529587,4298,Ilex_aquifolium,4294,Aquifoliaceae,Sweden,TV114556
